Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Simone Pepe,Midfielder,27,Udinese Calcio,Serie A,Juventus,Serie A,11-12,9000000,7500000
Pablo Piatti,Midfielder,22,UD Almería,LaLiga2,Valencia CF,LaLiga,11-12,9000000,7500000
Lucas Piazón,Midfielder,18,FC São Paulo B, Brazil,Chelsea,Premier League,11-12,7500000,7500000
Ander Herrera,Midfielder,21,Real Zaragoza,LaLiga,Athletic Bilbao,LaLiga,11-12,7500000,7500000
Youssef El Arabi,Forward,24,SM Caen,Ligue 1,Hilal,Professional League,11-12,6500000,7500000
Felipe Caicedo,Forward,22,Levante UD,LaLiga,Loko Moscow,Premier Liga,11-12,5000000,7500000
Dentinho,Midfielder,22,Corinthians,Série A,Shakhtar D.,Premier Liga,11-12,3000000,7500000
Maarten Stekelenburg,Goalkeeper,28,AFC Ajax,Eredivisie,AS Roma,Serie A,11-12,11000000,7330000
Emanuele Giaccherini,Midfielder,26,RC Cesena,Serie A,Juventus,Serie A,11-12,5000000,7250000
André Santos,Midfielder,28,Fenerbahce,Süper Lig,Arsenal,Premier League,11-12,8500000,7000000
Kévin Constant,Midfielder,24,Chievo Verona,Serie A,Genoa,Serie A,11-12,5500000,7000000
Tim Matavz,Forward,22,FC Groningen,Eredivisie,PSV Eindhoven,Eredivisie,11-12,5500000,7000000
Thiago Neves,Midfielder,26,Hilal,Professional League,Fluminense,Série A,11-12,4500000,7000000
Diego Tardelli,Forward,26,Anzhi, Russia,Al Gharafa,Stars League,11-12,2500000,7000000
Scott Dann,Defender,24,Birmingham,Championship,Blackburn,Premier League,11-12,4500000,6800000
Fernando Muslera,Goalkeeper,25,Lazio,Serie A,Galatasaray,Süper Lig,11-12,12000000,6750000
Eliaquim Mangala,Defender,20,Standard Liège,Jupiler Pro League,FC Porto,Liga NOS,11-12,5000000,6750000
Diniyar Bilyaletdinov,Midfielder,26,Everton,Premier League,Spartak Moscow, Russia,11-12,6500000,6700000
Mevlüt Erdinc,Forward,24,Paris SG,Ligue 1,Stade Rennais,Ligue 1,11-12,7250000,6600000
Nikica Jelavic,Forward,26,Rangers,Premiership,Everton,Premier League,11-12,5000000,6600000
Craig Gardner,Midfielder,24,Birmingham,Championship,Sunderland,Premier League,11-12,4000000,6600000
Ju-yeong Park,Forward,26,Monaco,Ligue 2,Arsenal,Premier League,11-12,7000000,6500000
Alexander Merkel,Midfielder,19,AC Milan,Serie A,Genoa,Serie A,11-12,3500000,6500000
Scott Parker,Midfielder,30,West Ham,Championship,Spurs,Premier League,11-12,14000000,6200000
Borja Valero,Midfielder,26,West Brom,Premier League,Villarreal CF,LaLiga,11-12,12000000,6000000
Adil Rami,Defender,25,LOSC Lille,Ligue 1,Valencia CF,LaLiga,11-12,12000000,6000000
Steven Defour,Midfielder,23,Standard Liège,Jupiler Pro League,FC Porto,Liga NOS,11-12,12000000,6000000
Dani Parejo,Midfielder,22,Getafe CF,LaLiga,Valencia CF,LaLiga,11-12,8000000,6000000
Nacho Monreal,Defender,25,CA Osasuna,LaLiga,Málaga CF,LaLiga,11-12,7000000,6000000
Demy de Zeeuw,Midfielder,28,AFC Ajax,Eredivisie,Spartak Moscow,Premier Liga,11-12,6500000,6000000
Emmanuel Rivière,Forward,21,Saint-Étienne,Ligue 1,Toulouse,Ligue 1,11-12,5250000,6000000
Wesley,Midfielder,24,Werder Bremen,1.Bundesliga,Palmeiras,Série A,11-12,4500000,6000000
Nikola Kalinic,Forward,23,Blackburn,Premier League,Dnipro,Premier Liga,11-12,4500000,6000000
Nabil Dirar,Midfielder,25,Club Brugge,Jupiler Pro League,Monaco,Ligue 2,11-12,3500000,6000000
Fernando,Midfielder,30,G. Bordeaux,Ligue 1,Shabab,Professional League,11-12,3000000,6000000
Marcelo Moreno,Forward,24,Shakhtar D.,Premier Liga,Grêmio,Série A,11-12,2800000,6000000
Isco,Midfielder,19,Valencia B,2ª B - Grupo III,Málaga CF,LaLiga,11-12,NA,6000000
Djibril Cissé,Forward,29,Panathinaikos,Super League,Lazio,Serie A,11-12,14000000,5800000
Bobby Zamora,Forward,31,Fulham,Premier League,QPR,Premier League,11-12,8000000,5800000
Giovanni Sio,Forward,22,FC Sion,Super League,VfL Wolfsburg,1.Bundesliga,11-12,4500000,5800000
Mehdi Carcela-González,Midfielder,22,Standard Liège,Jupiler Pro League,Anzhi,Premier Liga,11-12,4000000,5700000
Davide Santon,Defender,20,Inter,Serie A,Newcastle,Premier League,11-12,7500000,5650000
Ezequiel Garay,Defender,24,Real Madrid,LaLiga,Benfica,Liga NOS,11-12,10000000,5500000
Rafinha,Defender,25,Genoa,Serie A,Bayern Munich ,1.Bundesliga,11-12,8000000,5500000
Ilkay Gündogan,Midfielder,20,1.FC Nuremberg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,11-12,6500000,5500000
Bruno César,Midfielder,22,Corinthians,Série A,Benfica,Liga NOS,11-12,6000000,5500000
Ivan Perisic,Midfielder,22,Club Brugge,Jupiler Pro League,Bor. Dortmund,1.Bundesliga,11-12,6000000,5500000
Leroy Fer,Midfielder,21,Feyenoord,Eredivisie,FC Twente,Eredivisie,11-12,5500000,5500000
Maxi Moralez,Midfielder,24,Vélez Sarsfield,Torneo Final,Atalanta,Serie A,11-12,5000000,5300000
Édgar Barreto,Midfielder,27,Atalanta,Serie A,US Palermo,Serie A,11-12,3500000,5300000
Matt Mills,Defender,24,Reading,Championship,Leicester,Championship,11-12,750000,5300000
Adrian Mierzejewski,Midfielder,24,Pol. Warsaw,Ekstraklasa,Trabzonspor,Süper Lig,11-12,3000000,5250000
Federico Marchetti,Goalkeeper,28,Cagliari Calcio,Serie A,Lazio,Serie A,11-12,5500000,5200000
Shane Long,Forward,24,Reading,Championship,West Brom,Premier League,11-12,2000000,5100000
Ricky van Wolfswinkel,Forward,22,FC Utrecht,Eredivisie,Sporting CP,Liga NOS,11-12,6000000,5080000
Alex,Defender,29,Chelsea,Premier League,Paris SG,Ligue 1,11-12,13000000,5000000
Alou Diarra,Midfielder,29,G. Bordeaux,Ligue 1,Marseille,Ligue 1,11-12,12000000,5000000
Yohan Cabaye,Midfielder,25,LOSC Lille,Ligue 1,Newcastle,Premier League,11-12,11000000,5000000
Didier Zokora,Midfielder,30,Sevilla FC,LaLiga,Trabzonspor,Süper Lig,11-12,10000000,5000000
Diego Forlán,Forward,32,Atlético Madrid,LaLiga,Inter,Serie A,11-12,10000000,5000000
Mehmet Ekici,Midfielder,21,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,11-12,6500000,5000000
José Callejón,Midfielder,24,Espanyol,LaLiga,Real Madrid,LaLiga,11-12,6500000,5000000
Georginio Wijnaldum,Midfielder,20,Feyenoord,Eredivisie,PSV Eindhoven,Eredivisie,11-12,6500000,5000000
Djibril Cissé,Forward,30,Lazio,Serie A,QPR,Premier League,11-12,6000000,5000000
Ikechukwu Uche,Forward,27,Real Zaragoza,LaLiga,Villarreal CF,LaLiga,11-12,5000000,5000000
Ahmed Musa,Forward,19,VVV-Venlo,Eredivisie,CSKA Moscow, Russia,11-12,5000000,5000000
Rúben Micael,Midfielder,24,FC Porto,Liga NOS,Atlético Madrid,LaLiga,11-12,4900000,5000000
Gabriel Torje,Midfielder,21,Dinamo Bukarest,Liga 1,Udinese Calcio,Serie A,11-12,4500000,5000000
Jonathan,Defender,25,Santos FC,Série A,Inter,Serie A,11-12,4500000,5000000
Éder,Forward,24,Brescia,Serie B,RC Cesena,Serie A,11-12,4200000,5000000
Ibson,Midfielder,27,Spartak Moscow,Premier Liga,Santos FC,Série A,11-12,3500000,5000000
Simone Padoin,Midfielder,27,Atalanta,Serie A,Juventus,Serie A,11-12,3500000,5000000
Sergey Davydov,Forward,26,Kuban Krasnodar, Russia,Rubin Kazan, Russia,11-12,3000000,5000000
Nemanja Matic,Midfielder,22,Chelsea,Premier League,Benfica,Liga NOS,11-12,3000000,5000000
Dudu,Midfielder,19,Cruzeiro,Série A,Dynamo Kyiv,Premier Liga,11-12,750000,5000000
Derek Boateng,Midfielder,28,Getafe CF,LaLiga,Dnipro,Premier Liga,11-12,2500000,4880000
Alessandro Diamanti,Forward,28,Brescia,Serie B,Bologna,Serie A,11-12,4000000,4860000
Alexander Gerndt,Forward,25,Helsingborg,Allsvenskan,FC Utrecht,Eredivisie,11-12,4000000,4800000
Serdar Kesimal,Defender,22,Kayserispor,Süper Lig,Fenerbahce,Süper Lig,11-12,6000000,4750000
Nedum Onuoha,Defender,25,Man City,Premier League,QPR,Premier League,11-12,7500000,4700000
Jean Beausejour,Defender,27,Birmingham,Championship,Wigan,Premier League,11-12,2000000,4700000
Oriol Romeu,Midfielder,19,FC Barcelona B,LaLiga2,Chelsea,Premier League,11-12,2500000,4600000
Yuto Nagatomo,Defender,24,RC Cesena,Serie A,Inter,Serie A,11-12,8500000,4500000
Shaun Wright-Phillips,Midfielder,29,Man City,Premier League,QPR,Premier League,11-12,8000000,4500000
Alan Hutton,Defender,26,Spurs,Premier League,Aston Villa,Premier League,11-12,7500000,4500000
Achille Emaná,Midfielder,29,Real Betis,LaLiga,Hilal,Professional League,11-12,7000000,4500000
John O'Shea,Defender,30,Man Utd,Premier League,Sunderland,Premier League,11-12,6500000,4500000
Jajá,Forward,25,Trabzonspor,Süper Lig,Al-Ahli (UAE), United Arab Emirates,11-12,6000000,4500000
Vedad Ibisevic,Forward,27,TSG Hoffenheim,1.Bundesliga,VfB Stuttgart,1.Bundesliga,11-12,6000000,4500000
Andrea Lazzari,Midfielder,26,Cagliari Calcio,Serie A,Fiorentina,Serie A,11-12,5500000,4500000
Manu del Moral,Forward,27,Getafe CF,LaLiga,Sevilla FC,LaLiga,11-12,5500000,4500000
David N'Gog,Forward,22,Liverpool,Premier League,Bolton,Premier League,11-12,5000000,4500000
Cameron Jerome,Forward,25,Birmingham,Championship,Stoke City,Premier League,11-12,4500000,4500000
Kevin Strootman,Midfielder,21,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,11-12,4000000,4500000
Pape Diakhaté,Defender,27,Dynamo Kyiv,Premier Liga,Granada CF,LaLiga,11-12,3750000,4500000
Jonathan Legear,Midfielder,24,RSC Anderlecht,Jupiler Pro League,Akhmat Grozny,Premier Liga,11-12,3500000,4500000
Zé Love,Forward,23,Santos FC,Série A,Genoa,Serie A,11-12,3000000,4500000
Nacer Barazite,Midfielder,21,Austria Vienna,Bundesliga,Monaco,Ligue 2,11-12,3000000,4500000
José Ángel,Defender,21,Sporting Gijón,LaLiga,AS Roma,Serie A,11-12,3000000,4500000
Diego Buonanotte,Midfielder,23,River Plate,Primera B Nacional,Málaga CF,LaLiga,11-12,2700000,4500000
Franco Vázquez,Midfielder,22,Belgrano,Torneo Final,US Palermo,Serie A,11-12,2400000,4500000
Ali Al-Habsi,Goalkeeper,29,Bolton,Premier League,Wigan,Premier League,11-12,2000000,4300000
Joaquín,Midfielder,29,Valencia CF,LaLiga,Málaga CF,LaLiga,11-12,10000000,4200000
Mirel Radoi,Midfielder,30,Hilal,Professional League,Al-Ain FC, United Arab Emirates,11-12,3000000,4200000
Emiliano Viviano,Goalkeeper,25,Bologna,Serie A,Inter,Serie A,11-12,12000000,4100000
Vieirinha,Defender,25,PAOK Saloniki,Super League,VfL Wolfsburg,1.Bundesliga,11-12,8000000,4000000
Jádson,Midfielder,28,Shakhtar D.,Premier Liga,São Paulo,Série A,11-12,7500000,4000000
Abdoulay Konko,Defender,27,Genoa,Serie A,Lazio,Serie A,11-12,5000000,4000000
Julien Féret,Midfielder,29,AS Nancy,Ligue 1,Stade Rennais,Ligue 1,11-12,5000000,4000000
Nelson Valdez,Forward,27,Hércules CF,LaLiga2,Rubin Kazan,Premier Liga,11-12,5000000,4000000
Ivo Ilicevic,Midfielder,24,1.FC K'lautern,1.Bundesliga,Hamburger SV,1.Bundesliga,11-12,5000000,4000000
Sokratis,Defender,23,AC Milan,Serie A,Genoa,Serie A,11-12,5000000,4000000
Mustafa Pektemek,Forward,22,Genclerbirligi,Süper Lig,Besiktas,Süper Lig,11-12,4500000,4000000
Vladimir Gabulov,Goalkeeper,27,Dinamo Moscow,Premier Liga,Anzhi,Premier Liga,11-12,3800000,4000000
Kolbeinn Sigthórsson,Forward,21,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,11-12,3500000,4000000
Marlos,Midfielder,23,Rentistas,Primera División,Metalist,Premier Liga,11-12,3000000,4000000
Henri Bienvenu,Forward,23,BSC Young Boys,Super League,Fenerbahce,Süper Lig,11-12,2500000,4000000
Gabriel Silva,Defender,20,Palmeiras,Série A,Granada CF,LaLiga,11-12,2500000,4000000
Santiago García,Forward,20,Nacional,Primera División,Atlético-PR,Série A,11-12,2000000,4000000
Alan Patrick,Midfielder,20,Santos FC,Série A,Shakhtar D.,Premier Liga,11-12,1500000,4000000
Marco Rossi,Defender,23,Parma,Serie A,RC Cesena,Serie A,11-12,1300000,4000000
Salvatore Sirigu,Goalkeeper,24,US Palermo,Serie A,Paris SG,Ligue 1,11-12,10000000,3900000
Danny Graham,Forward,25,Watford,Championship,Swansea,Premier League,11-12,1500000,3900000
Ryan Bennett,Defender,21,Peterborough,Championship,Norwich,Premier League,11-12,250000,3850000
Umut Bulut,Forward,28,Trabzonspor,Süper Lig,Toulouse,Ligue 1,11-12,6000000,3800000
Christian Fuchs,Defender,25,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,11-12,5000000,3800000
Juan Jesus,Defender,20,Internacional,Série A,Inter,Serie A,11-12,3000000,3800000
Fábio Rochemback,Midfielder,30,Grêmio,Série A,DL Yifang,Super League,11-12,2000000,3790000
Robbie Keane,Forward,31,Spurs,Premier League,Los Angeles,MLS,11-12,7000000,3750000
Shay Given,Goalkeeper,35,Man City,Premier League,Aston Villa,Premier League,11-12,5500000,3750000
Jeffren,Midfielder,23,FC Barcelona,LaLiga,Sporting CP,Liga NOS,11-12,5000000,3750000
Jamie O'Hara,Midfielder,24,Spurs,Premier League,Wolves,Premier League,11-12,4500000,3750000
Marco Motta,Defender,25,Udinese Calcio,Serie A,Juventus,Serie A,11-12,3500000,3750000
Paulo Henrique,Forward,22,Desp. Brasil, Brazil,Trabzonspor,Süper Lig,11-12,3000000,3750000
Volkan Sen,Midfielder,24,Bursaspor,Süper Lig,Trabzonspor,Süper Lig,11-12,4700000,3600000
Marvin Sordell,Forward,20,Watford,Championship,Bolton,Premier League,11-12,1000000,3600000
Kléber,Forward,21,Atlético-MG,Série A,FC Porto,Liga NOS,11-12,1300000,3560000
José Antonio Reyes,Midfielder,28,Atlético Madrid,LaLiga,Sevilla FC,LaLiga,11-12,15000000,3500000
Diego Capel,Midfielder,23,Sevilla FC,LaLiga,Sporting CP,Liga NOS,11-12,8000000,3500000
Maxwell,Defender,30,FC Barcelona,LaLiga,Paris SG,Ligue 1,11-12,7000000,3500000
Barreto,Forward,25,Bari,Serie B,Udinese Calcio,Serie A,11-12,7000000,3500000
Emmanuel Eboué,Defender,28,Arsenal,Premier League,Galatasaray,Süper Lig,11-12,6000000,3500000
Nicolas N'Koulou,Defender,21,Monaco,Ligue 2,Marseille,Ligue 1,11-12,5000000,3500000
Jonathan Pitroipa,Midfielder,25,Hamburger SV,1.Bundesliga,Stade Rennais,Ligue 1,11-12,4500000,3500000
Thiago Silva,Defender,27,AC Milan,Serie A,Paris SG,Ligue 1,12-13,38000000,42000000
Hulk,Midfielder,26,FC Porto,Liga NOS,Zenit S-Pb,Premier Liga,12-13,37000000,40000000
Lucas Moura,Midfielder,20,São Paulo,Série A,Paris SG,Ligue 1,12-13,35000000,40000000
Javi Martínez,Midfielder,24,Athletic Bilbao,LaLiga,Bayern Munich ,1.Bundesliga,12-13,30000000,40000000
Axel Witsel,Midfielder,23,Benfica,Liga NOS,Zenit S-Pb,Premier Liga,12-13,20000000,40000000
Eden Hazard,Midfielder,21,LOSC Lille,Ligue 1,Chelsea,Premier League,12-13,33000000,35000000
Willian,Midfielder,24,Shakhtar D.,Premier Liga,Anzhi,Premier Liga,12-13,25000000,35000000
Oscar,Midfielder,20,Internacional,Série A,Chelsea,Premier League,12-13,20000000,32000000
Robin van Persie,Forward,29,Arsenal,Premier League,Man Utd,Premier League,12-13,47500000,30700000
Luka Modric,Midfielder,26,Spurs,Premier League,Real Madrid,LaLiga,12-13,40000000,30000000
Ezequiel Lavezzi,Forward,27,SSC Napoli,Serie A,Paris SG,Ligue 1,12-13,30000000,28950000
Zlatan Ibrahimovic,Forward,30,AC Milan,Serie A,Paris SG,Ligue 1,12-13,37000000,21000000
Javi García,Midfielder,25,Benfica,Liga NOS,Man City,Premier League,12-13,15000000,20200000
Mario Balotelli,Forward,22,Man City,Premier League,AC Milan,Serie A,12-13,24000000,20000000
Alex Song,Midfielder,24,Arsenal,Premier League,FC Barcelona,LaLiga,12-13,25000000,19000000
Santi Cazorla,Midfielder,27,Málaga CF,LaLiga,Arsenal,Premier League,12-13,20000000,19000000
Mousa Dembélé,Midfielder,25,Fulham,Premier League,Spurs,Premier League,12-13,13000000,19000000
Joe Allen,Midfielder,22,Swansea,Premier League,Liverpool,Premier League,12-13,4000000,19000000
Kwadwo Asamoah,Defender,23,Udinese Calcio,Serie A,Juventus,Serie A,12-13,15000000,18000000
Lacina Traoré,Forward,22,Kuban Krasnodar,Premier Liga,Anzhi,Premier Liga,12-13,7000000,18000000
Marco Reus,Midfielder,23,Bor. M'gladbach,1.Bundesliga,Bor. Dortmund,1.Bundesliga,12-13,20000000,17100000
Shinji Kagawa,Midfielder,23,Bor. Dortmund,1.Bundesliga,Man Utd,Premier League,12-13,22000000,16000000
Taison,Midfielder,25,Metalist,Premier Liga,Shakhtar D.,Premier Liga,12-13,12000000,15240000
Gastón Ramírez,Midfielder,21,Bologna,Serie A,Southampton,Premier League,12-13,13500000,15200000
Steven Fletcher,Forward,25,Wolves,Championship,Sunderland,Premier League,12-13,6000000,15200000
Matija Nastasic,Defender,19,Fiorentina,Serie A,Man City,Premier League,12-13,5500000,15200000
Alexandre Pato,Forward,23,AC Milan,Serie A,Corinthians,Série A,12-13,28500000,15000000
Lukas Podolski,Forward,27,1. FC Köln,2.Bundesliga,Arsenal,Premier League,12-13,20000000,15000000
Daniel Sturridge,Forward,23,Chelsea,Premier League,Liverpool,Premier League,12-13,16000000,15000000
Christopher Samba,Defender,28,Anzhi,Premier Liga,QPR,Premier League,12-13,15000000,15000000
Jack Rodwell,Midfielder,21,Everton,Premier League,Man City,Premier League,12-13,15000000,15000000
Samir Handanovic,Goalkeeper,28,Udinese Calcio,Serie A,Inter,Serie A,12-13,15000000,15000000
Jordi Alba,Defender,23,Valencia CF,LaLiga,FC Barcelona,LaLiga,12-13,10000000,14000000
Carlos Vela,Midfielder,23,Arsenal,Premier League,Real Sociedad,LaLiga,12-13,8000000,14000000
Mauricio Isla,Defender,24,Udinese Calcio,Serie A,Juventus,Serie A,12-13,14000000,13900000
Fabio Borini,Midfielder,21,AS Roma,Serie A,Liverpool,Premier League,12-13,9000000,13300000
Rafael van der Vaart,Midfielder,29,Spurs,Premier League,Hamburger SV,1.Bundesliga,12-13,24500000,13000000
Mario Mandzukic,Midfielder,26,VfL Wolfsburg,1.Bundesliga,Bayern Munich ,1.Bundesliga,12-13,14000000,13000000
Lucas Ocampos,Midfielder,18,River Plate,Torneo Final,Monaco,Ligue 2,12-13,9000000,13000000
Philippe Coutinho,Midfielder,20,Inter,Serie A,Liverpool,Premier League,12-13,9000000,13000000
Hugo Lloris,Goalkeeper,25,Olympique Lyon,Ligue 1,Spurs,Premier League,12-13,19000000,12600000
Adam Johnson,Midfielder,25,Man City,Premier League,Sunderland,Premier League,12-13,10500000,12600000
Jan Vertonghen,Defender,25,AFC Ajax,Eredivisie,Spurs,Premier League,12-13,15000000,12500000
Giampaolo Pazzini,Forward,28,Inter,Serie A,AC Milan,Serie A,12-13,14500000,12500000
Yann M'Vila,Midfielder,22,Stade Rennais,Ligue 1,Rubin Kazan,Premier Liga,12-13,15000000,12000000
Olivier Giroud,Forward,25,Montpellier,Ligue 1,Arsenal,Premier League,12-13,13000000,12000000
Luuk de Jong,Forward,21,FC Twente,Eredivisie,Bor. M'gladbach,1.Bundesliga,12-13,12000000,12000000
Marco Verratti,Midfielder,19,Pescara,Serie A,Paris SG,Ligue 1,12-13,10000000,12000000
Ola John,Midfielder,20,FC Twente,Eredivisie,Benfica,Liga NOS,12-13,2500000,12000000
Paulo Dybala,Forward,18,Instituto,Primera B Nacional,US Palermo,Serie A,12-13,2000000,11900000
Xherdan Shaqiri,Midfielder,20,FC Basel,Super League,Bayern Munich ,1.Bundesliga,12-13,12500000,11800000
Wilfried Zaha,Midfielder,20,Crystal Palace,Championship,Man Utd,Premier League,12-13,3500000,11750000
Victor Moses,Midfielder,21,Wigan,Premier League,Chelsea,Premier League,12-13,6500000,11500000
Sebastian Giovinco,Forward,25,Parma,Serie A,Juventus,Serie A,12-13,12500000,11000000
Fredy Guarín,Midfielder,26,FC Porto,Liga NOS,Inter,Serie A,12-13,12000000,11000000
Eduardo Salvio,Midfielder,22,Atlético Madrid,LaLiga,Benfica,Liga NOS,12-13,10000000,11000000
Manolo Gabbiadini,Forward,20,Atalanta,Serie A,Juventus,Serie A,12-13,4500000,11000000
Mateo Kovacic,Midfielder,18,Dinamo Zagreb,1.HNL,Inter,Serie A,12-13,3000000,11000000
Loïc Rémy,Forward,26,Marseille,Ligue 1,QPR,Premier League,12-13,15000000,10500000
Rodrigo Palacio,Forward,30,Genoa,Serie A,Inter,Serie A,12-13,12000000,10500000
Mário Fernandes,Defender,21,Grêmio,Série A,CSKA Moscow,Premier Liga,12-13,9000000,10500000
Jordan Rhodes,Forward,22,Huddersfield,Championship,Blackburn,Championship,12-13,3500000,10100000
Álvaro Pereira,Defender,26,FC Porto,Liga NOS,Inter,Serie A,12-13,16000000,10000000
Raúl Meireles,Midfielder,29,Chelsea,Premier League,Fenerbahce,Süper Lig,12-13,15000000,10000000
Nilmar,Forward,28,Villarreal CF,LaLiga2,Al Rayyan,Stars League,12-13,15000000,10000000
Giuseppe Rossi,Forward,25,Villarreal CF,LaLiga2,Fiorentina,Serie A,12-13,10000000,10000000
Marvin Martin,Midfielder,24,FC Sochaux,Ligue 1,LOSC Lille,Ligue 1,12-13,9500000,10000000
Gylfi Sigurdsson,Midfielder,22,TSG Hoffenheim,1.Bundesliga,Spurs,Premier League,12-13,8500000,10000000
Nacho Monreal,Defender,26,Málaga CF,LaLiga,Arsenal,Premier League,12-13,6000000,10000000
Matt Jarvis,Midfielder,26,Wolves,Championship,West Ham,Premier League,12-13,8000000,9500000
Ganso,Midfielder,22,Santos FC,Série A,São Paulo,Série A,12-13,18000000,9100000
Raffael,Forward,27,Hertha BSC,2.Bundesliga,Dynamo Kyiv,Premier Liga,12-13,9000000,9000000
José Salomón Rondón,Forward,22,Málaga CF,LaLiga,Rubin Kazan,Premier Liga,12-13,9000000,9000000
Jackson Martínez,Forward,25,Chiapas FC,Liga MX Clausura,FC Porto,Liga NOS,12-13,5000000,8890000
César Azpilicueta,Defender,23,Marseille,Ligue 1,Chelsea,Premier League,12-13,7500000,8800000
Christian Benteke,Forward,21,KRC Genk,Jupiler Pro League,Aston Villa,Premier League,12-13,3000000,8800000
Jay Rodríguez,Forward,22,Burnley,Championship,Southampton,Premier League,12-13,5000000,8650000
Nordin Amrabat,Midfielder,25,Kayserispor,Süper Lig,Galatasaray,Süper Lig,12-13,6000000,8600000
Demba Ba,Forward,27,Newcastle,Premier League,Chelsea,Premier League,12-13,15000000,8500000
Lucas Barrios,Forward,27,Bor. Dortmund,1.Bundesliga,GZ Evergrande,Super League,12-13,10000000,8500000
Granit Xhaka,Midfielder,19,FC Basel,Super League,Bor. M'gladbach,1.Bundesliga,12-13,8500000,8500000
Vurnon Anita,Midfielder,23,AFC Ajax,Eredivisie,Newcastle,Premier League,12-13,6000000,8500000
Diego Souza,Midfielder,27,Vasco da Gama,Série A,Ittihad,Professional League,12-13,4500000,8200000
Marko Marin,Midfielder,23,Werder Bremen,1.Bundesliga,Chelsea,Premier League,12-13,13000000,8000000
Martín Cáceres,Defender,25,Sevilla FC,LaLiga,Juventus,Serie A,12-13,9500000,8000000
Mapou Yanga-Mbiwa,Defender,23,Montpellier,Ligue 1,Newcastle,Premier League,12-13,9000000,8000000
Álvaro Domínguez,Defender,23,Atlético Madrid,LaLiga,Bor. M'gladbach,1.Bundesliga,12-13,8000000,8000000
Valon Behrami,Midfielder,27,Fiorentina,Serie A,SSC Napoli,Serie A,12-13,8000000,8000000
Esteban Granero,Midfielder,25,Real Madrid,LaLiga,QPR,Premier League,12-13,7000000,8000000
Ivan Perisic,Midfielder,23,Bor. Dortmund,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,12-13,7000000,8000000
Aleksandr Samedov,Midfielder,27,Dinamo Moscow,Premier Liga,Loko Moscow,Premier Liga,12-13,6500000,8000000
Kévin Constant,Midfielder,25,Genoa,Serie A,AC Milan,Serie A,12-13,6000000,8000000
Marco Ruben,Forward,25,Villarreal CF,LaLiga2,Dynamo Kyiv,Premier Liga,12-13,6000000,8000000
Davide Faraoni,Midfielder,20,Inter,Serie A,Udinese Calcio,Serie A,12-13,4000000,8000000
Rômulo,Midfielder,21,Vasco da Gama,Série A,Spartak Moscow,Premier Liga,12-13,2500000,8000000
Scott Sinclair,Midfielder,23,Swansea,Premier League,Man City,Premier League,12-13,8000000,7800000
Kevin Mirallas,Midfielder,24,Olympiacos,Super League,Everton,Premier League,12-13,8000000,7650000
Wesley Sneijder,Midfielder,28,Inter,Serie A,Galatasaray,Süper Lig,12-13,19000000,7500000
Clint Dempsey,Forward,29,Fulham,Premier League,Spurs,Premier League,12-13,15000000,7500000
Asamoah Gyan,Forward,26,Sunderland,Premier League,Al-Ain FC,UAE Gulf League,12-13,12000000,7500000
Goran Pandev,Forward,28,Inter,Serie A,SSC Napoli,Serie A,12-13,11000000,7500000
Miguel Veloso,Midfielder,26,Genoa,Serie A,Dynamo Kyiv,Premier Liga,12-13,8000000,7500000
Sergio Canales,Midfielder,21,Real Madrid,LaLiga,Valencia CF,LaLiga,12-13,5000000,7500000
Yura Movsisyan,Forward,25,Krasnodar,Premier Liga,Spartak Moscow,Premier Liga,12-13,3200000,7500000
Nick Powell,Midfielder,18,Crewe Alexandra,League One,Man Utd,Premier League,12-13,250000,7500000
Borja Valero,Midfielder,27,Villarreal CF,LaLiga2,Fiorentina,Serie A,12-13,12000000,7000000
Milos Krasic,Midfielder,27,Juventus,Serie A,Fenerbahce,Süper Lig,12-13,11000000,7000000
Mattia Destro,Forward,21,Siena,Serie A,Genoa,Serie A,12-13,10000000,7000000
Pablo Hernández,Midfielder,27,Valencia CF,LaLiga,Swansea,Premier League,12-13,9000000,7000000
Bas Dost,Forward,23,Heerenveen,Eredivisie,VfL Wolfsburg,1.Bundesliga,12-13,8000000,7000000
Niko Kranjcar,Midfielder,27,Spurs,Premier League,Dynamo Kyiv,Premier Liga,12-13,7500000,7000000
Philipp Wollscheid,Defender,23,1.FC Nuremberg,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,12-13,7500000,7000000
Vedran Corluka,Defender,26,Spurs,Premier League,Loko Moscow,Premier Liga,12-13,7500000,7000000
Sung-yong Ki,Midfielder,23,Celtic,Premiership,Swansea,Premier League,12-13,3500000,7000000
Alessio Cerci,Midfielder,25,Fiorentina,Serie A,Torino,Serie A,12-13,6500000,6750000
Renato Augusto,Midfielder,24,Bay. Leverkusen,1.Bundesliga,Corinthians,Série A,12-13,7000000,6700000
Luís Neto,Defender,24,Siena,Serie A,Zenit S-Pb,Premier Liga,12-13,6000000,6500000
